Blog	new	my	how	they	one	we	is	it	in	if	just	has	for	was	can	not	that	s	t	on	or	with	as	at	you	all	more	are	be	by	into	from	this	out	their	have	which	an	i	like	about	but
The Superficial - Because You're Ugly	0	0	0	0	0	0	1	2	2	1	0	1	1	0	0	0	1	3	1	3	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Wonkette	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	2	2	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Publishing 2.0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	1	2	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1
Eschaton	1	1	0	1	0	1	4	2	2	0	0	1	1	0	1	1	1	2	0	0	2	0	3	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	3	1	0	1
Mashable!	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
we make money not art	1	1	2	4	4	2	21	10	23	2	2	2	8	10	5	5	15	17	2	18	5	9	2	9	5	1	4	4	5	12	5	2	4	0	6	4	5	6	4	0	5	4
Joho the Blog	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0
Neil Gaiman's Journal	0	4	0	0	0	0	1	2	7	0	1	0	3	2	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	2	1	1	0	1	0	0	7	0	2	0
Signal vs. Noise	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Online Marketing Report	2	3	0	0	1	0	0	6	1	1	3	0	2	0	2	4	3	4	0	5	0	2	3	0	7	0	2	0	0	1	0	0	1	0	0	1	0	1	7	1	2	1
Kotaku	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
The Steve Rubel Stream	2	1	4	2	3	2	11	13	13	2	0	1	2	0	4	0	8	6	2	4	2	2	9	1	0	4	2	8	2	1	1	1	11	1	2	2	2	4	1	2	0	0
ReadWriteWeb	0	0	0	1	0	1	2	4	5	0	0	2	4	0	2	0	2	2	0	2	1	3	1	2	2	0	2	0	0	0	0	4	1	0	2	0	1	2	0	1	0	2
Deadspin	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	1	0	0	0	1	0	0	2	0	1	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0
John Battelle's Searchblog	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	1	0	5	0	0	0
How to Change the World	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0
43 Folders	0	1	0	0	0	0	1	1	0	0	0	0	2	2	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	2	0	0	0	0	0	1	1	0	3	0	0	0
Daily Kos	0	0	2	0	2	2	6	4	8	6	2	5	7	1	2	0	3	4	1	3	3	1	0	2	5	0	4	6	5	2	0	2	3	2	0	1	1	0	4	0	4	1
Stepcase Lifehack	2	7	2	1	4	3	17	8	9	8	2	6	18	0	10	1	20	5	4	10	4	14	3	2	23	1	3	4	5	6	2	2	6	0	4	11	2	1	11	4	2	3
Power Line	0	0	3	1	3	2	14	0	7	1	2	3	1	0	1	2	10	4	1	2	1	2	2	2	1	0	1	3	1	1	0	1	3	1	0	2	2	0	1	2	1	1
GoFugYourself	0	1	0	0	0	0	1	0	0	0	0	0	1	2	1	0	1	3	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0
Google Operating System	3	0	0	0	1	1	2	0	2	1	1	1	3	0	1	0	3	0	1	0	0	0	0	1	3	0	0	1	1	3	0	2	0	0	0	0	1	1	0	1	0	0
